"Timestamp","Team Name","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6"
"2020/04/01 4:56:59 PM MDT","ANSWER KEY","Dothraki & Valyrian","Jonathan Groff","Prince Charles of Wales","Queen Anne, England","Widowâ€™s Wail","7"
"2020/04/01 8:03:42 PM MDT","the yellow house","klingon and vulcan","we have no idea but he was really good","prince charles unless he dies from covid 19","queen victoria , england","really?","5"
"2020/04/01 8:03:58 PM MDT","Got Moni","Dothraki, Valarian","","Prince Charles","Queen Anne in England","Valarian Heart","7"
"2020/04/01 8:03:59 PM MDT","Shelter in (First) Place","dothraki & yurtesghd","cole sanford","prince andrew","wales and queen marie","nerd bs","4"
"2020/04/01 8:04:06 PM MDT","Its Quarentime ","dothrockian (sp?) & ","lin mannuel ","prince william ","Queen Elizabeth & England ","i am a dick ","5"
"2020/04/01 8:04:13 PM MDT","Dr Deborah Birx","","","Prince Charles","Mary Queen of Scots","","12"
"2020/04/01 8:04:13 PM MDT","Sock Monkeys","Dothraki; Valarian","Lin Manuel Miranda","King Charles","England; Queen Anne","Widow's Wail","7"
"2020/04/01 8:04:14 PM MDT","white meat st.","dothraki, valyrian","brad pitt","Prince Harry","Prague, Czec republic, france, italy","widows wail","13"
"2020/04/01 8:04:17 PM MDT","Who is Andre the Giant","Dathraki, Valerian","Jonathan Groff","Charles","Anne, England","poop","3"
"2020/04/01 8:04:17 PM MDT","uli's high school pals","High Valerian and Dothraki","Jonathan Groff","Prince Charles","Queen Ann, England","Biter","One"
"2020/04/01 8:04:19 PM MDT","College Kids","English & Pig Latin","Daveed Diggs","Prince Charles","Queen Anne","Excallibur","12"
"2020/04/01 8:04:22 PM MDT","BAAAH","Dothraki, Valyrian","Ed something.....","Prince Charles","Queen Mary of Scotland","Widow's Wail","12"
"2020/04/01 8:04:24 PM MDT","Drinking Buddies","High Valaryian and Dothraki","Jonathan Groff","Prince Charles","Mary Queen of Scots of Scotland","The Widowmaker","Seven"
"2020/04/01 8:04:24 PM MDT","Quarantined Campers","Doth Raki and what the dragon people spoke","Lin Manuel Miranda","Prince Charles","Queen Anne and England","The sword of Elindel","Three"
"2020/04/01 8:04:24 PM MDT","Luck of the Irish","atarian / ","Jonathon groth","prince Charles","England and queen Catherine","","one"
"2020/04/01 8:04:26 PM MDT","Dam Fam","Dothraki, Valarian ","","Prince Charles ","Queen Cathrine ","","13"
"2020/04/01 8:04:26 PM MDT","Robin Levy and the boys","no clue","no clue","prince william ","queen victoria/england ","no clue","6"
"2020/04/01 8:04:26 PM MDT","Gaiss Fam Bam","Dothraki, Hivalerian ","Alexander Gemignani ","Prince Charles","Queen Victoria - Great Britain ","Heart eater","5"
"2020/04/01 8:04:26 PM MDT","Big Blue","Dothraki, Inmarine","Jonathan Groff","Prince Charles","Queen Anne, England","Widows Wail","4"
"2020/04/01 8:04:27 PM MDT","Team Lucy","Dothraki and targarian","Lin Manuel Miranda","Prince Charles","Mary queen of England","Wolfsbane","4"
"2020/04/01 8:04:27 PM MDT","6 feet apart","Dothraki,  Valyrian","Jonathan Groff","Prince Charles","Queen Anne, England","King Slayer","7"
"2020/04/01 8:04:27 PM MDT","Gone Viral ","Dothraki, Valeryian, ","Jonathan Groff ","Charles ","Queen Victoria (England)","Widow's Wail ","7 "
"2020/04/01 8:04:28 PM MDT","We Thought This Was Bingo","Valerian, Dothraki","Jonathan Graff","Prince Charles","England, Queen Victoria","Heart Eater","4"
"2020/04/01 8:04:29 PM MDT","Naughty Nasty Narwhals","Dothraki & Valerian","Denzel Washington","Charles","England/Ireland/Scotland","Hearteater","7"
"2020/04/01 8:04:30 PM MDT","Quarankweens","Dothraki and Valyrian","Jonathan Groff","Prince Charles","Queen Anne England","Needlge Dagger","7"
"2020/04/01 8:04:30 PM MDT","Middlebrook Family","Dothraki and ","Jonathan Groff","Prince Charles","England Queen Mary","The something","6"
"2020/04/01 8:04:31 PM MDT","Seriously, who are these people?","Dothraki and Valyrian","Ned Stark","Price Phillip","Queen Elizabeth, England","Widow maker","2"
"2020/04/01 8:04:31 PM MDT","http//:askjeeves.com	","Dothraki, Cajun","Daniel Radcliffe","Prince Charles","","","7"
"2020/04/01 8:04:32 PM MDT","Little Einsteins","Dothraki and (High) Valyrian","Jonathan Groff","Prince Charles","Queen Anne and England","Hearteater","Seven"
"2020/04/01 8:04:33 PM MDT","brooke & the barnyard","Dothracki","","Prince Charles","Mary Queen of Scotts; England","Whale","3"
"2020/04/01 8:04:34 PM MDT","University of Phoenix","","","Prince Charles","Mary scotland","Widows wail","6"
"2020/04/01 8:04:36 PM MDT","#spambrandfam","Dothraki, Valyrian","Jonathan Groff","Prince Charles","Queen Anne, England","Widowmaker","3"
"2020/04/01 8:04:38 PM MDT","Cabin Fever Chaos","Valyrian & Dothraki","Colin Firth","Prince Charles","Queen Ann","Widow's Wail","1"
"2020/04/01 8:04:39 PM MDT","Week 1 3rd to Last Placers","Dothraki and Valerian","Nicholas Cage","Prince William","Queen Elizabeth; England","","1"